time,type,amount
2017/1/2 0:55,SE,3490
2017/1/2 1:00,SE,612.49
2017/1/2 1:05,SE,280.88
2017/1/2 1:10,SE,1736.8
2017/1/2 1:15,SE,601.94
2017/1/2 1:20,SE,902.38
2017/1/2 1:25,SE,559.86
2017/1/2 1:30,SE,1495.66
2017/1/2 1:35,SE,915.8
2017/1/2 1:40,SE,488.69
2017/1/2 1:45,SE,19.96
2017/1/2 1:50,SE,99.04
2017/1/2 1:55,SE,206.1
2017/1/2 2:00,SE,80.06
2017/1/2 2:05,SE,159.73
2017/1/2 2:10,SE,65.92
2017/1/2 2:15,SE,29.5
2017/1/2 2:25,SE,4.15
2017/1/2 2:30,RE,105
2017/1/2 2:30,SE,93.86
2017/1/2 2:40,SE,93.86
2017/1/2 2:50,SE,456.36
2017/1/2 3:00,SE,7.76
2017/1/2 3:20,SE,33.23
2017/1/2 3:25,SE,124.47
2017/1/2 3:30,SE,21.13
2017/1/2 3:35,SE,61.76
2017/1/2 3:40,SE,4.9
2017/1/2 3:45,SE,327.24
2017/1/2 3:55,SE,21.19
2017/1/2 4:00,SE,240.92
2017/1/2 4:10,SE,6.99
2017/1/2 4:20,SE,10.09
2017/1/2 4:30,SE,26.62
2017/1/2 4:35,SE,446.08
2017/1/2 4:40,SE,3.43
2017/1/2 4:55,SE,118.38
2017/1/2 5:00,SE,93.86
2017/1/2 5:10,SE,25.18
2017/1/2 5:15,SE,160.94
2017/1/2 5:25,SE,27.98
2017/1/2 5:30,SE,77.41
2017/1/2 5:35,SE,30.25
2017/1/2 5:40,SE,63.95
2017/1/2 5:50,SE,33.7
2017/1/2 5:55,SE,17.75
2017/1/2 6:00,SE,4.98
2017/1/2 6:10,SE,309.78
2017/1/2 6:15,SE,3.43
2017/1/2 6:20,SE,421.47
2017/1/2 6:25,SE,74.07
2017/1/2 6:35,SE,4.19
2017/1/2 6:50,SE,29.01
2017/1/2 6:55,SE,85.59
2017/1/2 7:05,SE,24.21
2017/1/2 7:15,SE,4.21
2017/1/2 7:20,SE,284.37
2017/1/2 7:25,SE,65.56
2017/1/2 7:30,SE,34.35
2017/1/2 7:40,SE,202.23
2017/1/2 7:45,SE,98.2
2017/1/2 7:50,SE,114.08
2017/1/2 8:10,SE,20.18
2017/1/2 8:20,SE,93.86
2017/1/2 8:30,SE,257.14
2017/1/2 8:40,SE,434.54
2017/1/2 8:55,SE,382.36
2017/1/2 9:00,SE,148.2
2017/1/2 9:05,SE,398.88
2017/1/2 9:10,SE,174.2
2017/1/2 9:15,SE,398.44
2017/1/2 9:20,SE,89.45
2017/1/2 9:30,SE,100.79
2017/1/2 9:35,SE,24.24
2017/1/2 9:40,SE,93.86
2017/1/2 9:45,SE,322.09
2017/1/2 9:50,SE,490.05
2017/1/2 9:55,SE,274.76
2017/1/2 10:00,SE,93.86
2017/1/2 10:10,RE,94
2017/1/2 10:15,SE,782.94
2017/1/2 10:20,SE,288.5
2017/1/2 10:25,SE,134.16
2017/1/2 10:30,SE,211.96
2017/1/2 10:35,SE,383.34
2017/1/2 10:40,SE,635.28
2017/1/2 10:45,SE,149.29
2017/1/2 10:50,SE,187.72
2017/1/2 10:55,SE,856.14
2017/1/2 11:00,SE,509.4
2017/1/2 11:05,SE,136.24
2017/1/2 11:10,SE,322.09
2017/1/2 11:15,SE,283.56
2017/1/2 11:20,SE,797.41
2017/1/2 11:30,SE,127.02
2017/1/2 11:40,SE,415.95
2017/1/2 11:45,SE,137.31
2017/1/2 11:50,SE,995.53
2017/1/2 11:55,SE,117.57
2017/1/2 12:00,SE,115.91
2017/1/2 12:05,SE,1054.19
2017/1/2 12:10,SE,440.19
2017/1/2 12:15,SE,1196.39
2017/1/2 12:20,SE,93.86
2017/1/2 12:25,SE,165
2017/1/2 12:30,SE,10.09
2017/1/2 12:40,SE,276.96
2017/1/2 12:50,RE,99
2017/1/2 12:50,SE,331.7
2017/1/2 12:55,SE,639.12
2017/1/2 13:05,SE,24.24
2017/1/2 13:10,SE,375.44
2017/1/2 13:15,SE,204.51
2017/1/2 13:20,SE,828.64
2017/1/2 13:25,SE,477.2
2017/1/2 13:30,SE,376.68
2017/1/2 13:35,SE,231.83
2017/1/2 13:40,SE,329.98
2017/1/2 13:45,SE,364.4
2017/1/2 13:50,RE,45
2017/1/2 13:50,SE,493.01
2017/1/2 13:55,SE,462.29
2017/1/2 14:00,SE,187.72
2017/1/2 14:05,SE,24.24
2017/1/2 14:10,SE,153.32
2017/1/2 14:15,SE,281.58
2017/1/2 14:20,SE,146.3
2017/1/2 14:25,SE,669.49
2017/1/2 14:30,SE,421.88
2017/1/2 14:35,SE,305.29
2017/1/2 14:40,SE,823.6
2017/1/2 14:45,SE,103.55
2017/1/2 14:50,SE,359.63
2017/1/2 14:55,SE,4.9
2017/1/2 15:00,SE,386.79
2017/1/2 15:05,SE,117.57
2017/1/2 15:10,SE,400.51
2017/1/2 15:15,SE,278.62
2017/1/2 15:20,SE,752.6
2017/1/2 15:25,SE,1291.89
2017/1/2 15:30,SE,265.33
2017/1/2 15:35,SE,281.58
2017/1/2 15:40,SE,158.94
2017/1/2 15:45,SE,552.92
2017/1/2 15:50,SE,489.3
2017/1/2 15:55,SE,211.96
2017/1/2 16:00,SE,1026
2017/1/2 16:05,SE,123.02
2017/1/2 16:10,SE,277.05
2017/1/2 16:15,SE,588.03
2017/1/2 16:25,RE,98
2017/1/2 16:25,SE,1333.41
2017/1/2 16:30,SE,191.02
2017/1/2 16:35,SE,112.22
2017/1/2 16:40,SE,228.23
2017/1/2 16:45,SE,520.09
2017/1/2 16:50,SE,353.84
2017/1/2 16:55,SE,173.7
2017/1/2 17:00,SE,492.6
2017/1/2 17:10,SE,669.27
2017/1/2 17:15,SE,157.17
2017/1/2 17:20,SE,36.72
2017/1/2 17:25,SE,282.06
